customer_id,attribute,value,valid_from,valid_to,knowledge_from,knowledge_to
CUST0004,sector,Industrials,2020-01-01,2021-04-23,2020-01-25,2200-01-01
CUST0004,sector,Healthcare,2021-04-23,2021-06-20,2021-05-02,2200-01-01
CUST0004,sector,Financials,2021-06-20,2023-06-02,2021-06-27,2200-01-01
CUST0004,sector,Healthcare,2023-06-02,2024-12-31,2023-06-26,2026-02-05
CUST0004,sector,Technology,2023-06-02,2024-12-31,2026-02-05,2200-01-01
CUST0005,risk_tier,B,2020-01-01,2021-03-10,2020-01-24,2200-01-01
CUST0005,risk_tier,A,2021-03-10,2023-08-10,2021-04-07,2200-01-01
CUST0005,risk_tier,B,2023-08-10,2024-05-27,2023-08-22,2200-01-01
CUST0005,risk_tier,B,2024-05-27,2024-12-31,2024-06-09,2200-01-01
CUST0005,sector,Materials,2020-01-01,2022-01-28,2020-01-18,2200-01-01
CUST0005,sector,Industrials,2022-01-28,2024-08-21,2022-02-24,2200-01-01
CUST0005,sector,Energy,2024-08-21,2024-12-31,2024-08-30,2200-01-01
CUST0006,risk_tier,C,2020-01-01,2022-04-26,2020-01-13,2200-01-01
CUST0006,risk_tier,C,2022-04-26,2024-12-31,2022-05-11,2200-01-01
CUST0006,sector,Industrials,2020-01-01,2021-03-05,2020-01-20,2200-01-01
CUST0006,sector,Healthcare,2021-03-05,2024-06-15,2021-03-15,2200-01-01
CUST0006,sector,Materials,2024-06-15,2024-12-31,2024-07-15,2200-01-01
CUST0007,risk_tier,A,2020-01-01,2020-10-28,2020-01-31,2200-01-01
CUST0007,risk_tier,C,2020-10-28,2024-12-31,2020-11-25,2200-01-01
CUST0007,sector,Industrials,2020-01-01,2021-04-28,2020-01-23,2200-01-01
CUST0007,sector,Healthcare,2021-04-28,2022-08-13,2021-05-21,2200-01-01
CUST0007,sector,Technology,2022-08-13,2024-12-31,2022-09-04,2200-01-01
CUST0008,risk_tier,A,2020-01-01,2021-04-27,2020-01-25,2200-01-01
CUST0008,risk_tier,A,2021-04-27,2023-11-19,2021-05-01,2200-01-01
CUST0008,risk_tier,C,2023-11-19,2024-12-31,2023-12-17,2200-01-01
CUST0008,sector,Industrials,2020-01-01,2020-05-23,2020-01-12,2200-01-01
CUST0008,sector,Materials,2020-05-23,2024-02-04,2020-05-27,2200-01-01
CUST0008,sector,Financials,2024-02-04,2024-07-05,2024-02-20,2200-01-01
CUST0008,sector,Materials,2024-07-05,2024-12-31,2024-08-04,2200-01-01
CUST0009,risk_tier,C,2020-01-01,2020-09-21,2020-01-16,2200-01-01
CUST0009,risk_tier,A,2020-09-21,2024-12-31,2020-10-18,2200-01-01
CUST0009,sector,Industrials,2020-01-01,2021-06-23,2020-01-26,2200-01-01
CUST0009,sector,Materials,2021-06-23,2022-03-04,2021-07-15,2200-01-01
CUST0009,sector,Financials,2022-03-04,2022-08-29,2022-03-09,2200-01-01
CUST0009,sector,Industrials,2022-08-29,2024-12-31,2022-09-17,2026-02-19
CUST0009,sector,Healthcare,2022-08-29,2024-12-31,2026-02-19,2200-01-01
CUST0010,risk_tier,A,2020-01-01,2024-03-03,2020-01-04,2200-01-01
CUST0010,risk_tier,A,2024-03-03,2024-12-31,2024-03-06,2200-01-01
CUST0010,sector,Industrials,2020-01-01,2020-08-12,2020-01-14,2200-01-01
CUST0010,sector,Energy,2020-08-12,2021-06-26,2020-09-08,2200-01-01
CUST0010,sector,Healthcare,2021-06-26,2022-06-20,2021-07-25,2023-03-28
CUST0010,sector,Healthcare,2021-06-26,2021-10-29,2023-03-28,2200-01-01
CUST0010,sector,Technology,2021-10-29,2022-03-22,2023-03-28,2200-01-01
CUST0010,sector,Healthcare,2022-03-22,2022-06-20,2023-03-28,2200-01-01
CUST0010,sector,Technology,2022-06-20,2024-12-31,2022-06-24,2200-01-01
CUST0011,risk_tier,A,2020-01-01,2023-01-13,2020-01-01,2200-01-01
CUST0011,risk_tier,B,2023-01-13,2023-05-26,2023-02-08,2200-01-01
CUST0011,risk_tier,A,2023-05-26,2024-06-23,2023-06-24,2200-01-01
CUST0011,risk_tier,B,2024-06-23,2024-12-31,2024-06-27,2200-01-01
CUST0011,sector,Financials,2020-01-01,2021-07-28,2020-01-15,2200-01-01
CUST0011,sector,Financials,2021-07-28,2022-11-12,2021-08-05,2200-01-01
CUST0011,sector,Industrials,2022-11-12,2023-10-18,2022-11-26,2200-01-01
CUST0011,sector,Energy,2023-10-18,2024-12-31,2023-10-30,2200-01-01
CUST0012,risk_tier,C,2020-01-01,2021-07-06,2020-01-25,2200-01-01
CUST0012,risk_tier,B,2021-07-06,2022-08-05,2021-07-09,2200-01-01
CUST0012,risk_tier,C,2022-08-05,2024-12-31,2022-08-06,2200-01-01
CUST0012,sector,Energy,2020-01-01,2020-07-04,2020-01-27,2021-02-12
CUST0012,sector,Energy,2020-01-01,2020-03-05,2021-02-12,2200-01-01
CUST0012,sector,Technology,2020-03-05,2020-05-18,2021-02-12,2200-01-01
CUST0012,sector,Energy,2020-05-18,2020-07-04,2021-02-12,2200-01-01
CUST0012,sector,Financials,2020-07-04,2022-01-31,2020-07-29,2200-01-01
CUST0012,sector,Financials,2022-01-31,2024-04-06,2022-02-03,2200-01-01
CUST0012,sector,Healthcare,2024-04-06,2024-12-31,2024-04-06,2200-01-01
CUST0013,risk_tier,B,2020-01-01,2021-01-14,2020-01-31,2200-01-01
CUST0013,risk_tier,B,2021-01-14,2024-02-20,2021-02-05,2200-01-01
CUST0013,risk_tier,B,2024-02-20,2024-12-31,2024-02-29,2200-01-01
CUST0013,sector,Healthcare,2020-01-01,2020-08-01,2020-01-31,2200-01-01
CUST0013,sector,Technology,2020-08-01,2022-02-02,2020-08-22,2023-01-20
CUST0013,sector,Technology,2020-08-01,2021-02-09,2023-01-20,2200-01-01
CUST0013,sector,Materials,2021-02-09,2021-09-17,2023-01-20,2200-01-01
CUST0013,sector,Technology,2021-09-17,2022-02-02,2023-01-20,2200-01-01
CUST0013,sector,Healthcare,2022-02-02,2022-05-22,2022-02-26,2200-01-01
CUST0013,sector,Healthcare,2022-05-22,2024-12-31,2022-05-22,2200-01-01
CUST0014,risk_tier,C,2020-01-01,2022-10-11,2020-01-27,2200-01-01
CUST0014,risk_tier,C,2022-10-11,2024-06-21,2022-11-10,2200-01-01
CUST0014,risk_tier,B,2024-06-21,2024-12-31,2024-06-28,2200-01-01
CUST0014,sector,Technology,2020-01-01,2021-02-12,2020-01-09,2200-01-01
CUST0014,sector,Materials,2021-02-12,2024-12-31,2021-03-09,2200-01-01
CUST0015,risk_tier,C,2020-01-01,2022-10-03,2020-01-17,2200-01-01
CUST0015,risk_tier,A,2022-10-03,2023-05-27,2022-10-26,2200-01-01
CUST0015,risk_tier,C,2023-05-27,2024-12-31,2023-06-12,2200-01-01
CUST0015,sector,Industrials,2020-01-01,2020-10-12,2020-01-06,2200-01-01
CUST0015,sector,Financials,2020-10-12,2020-12-09,2020-11-02,2200-01-01
CUST0015,sector,Financials,2020-12-09,2024-12-31,2020-12-21,2200-01-01
CUST0016,risk_tier,A,2020-01-01,2022-08-12,2020-01-07,2200-01-01
CUST0016,risk_tier,B,2022-08-12,2022-11-17,2022-09-01,2200-01-01
CUST0016,risk_tier,C,2022-11-17,2024-07-03,2022-12-04,2200-01-01
CUST0016,risk_tier,B,2024-07-03,2024-12-31,2024-07-31,2200-01-01
CUST0016,sector,Energy,2020-01-01,2020-09-17,2020-01-02,2200-01-01
CUST0016,sector,Materials,2020-09-17,2024-12-31,2020-10-04,2026-03-07
CUST0016,sector,Energy,2020-09-17,2024-12-31,2026-03-07,2200-01-01
CUST0017,risk_tier,C,2020-01-01,2020-09-15,2020-01-19,2200-01-01
CUST0017,risk_tier,C,2020-09-15,2021-07-01,2020-10-13,2200-01-01
CUST0017,risk_tier,A,2021-07-01,2023-06-19,2021-07-05,2200-01-01
CUST0017,risk_tier,B,2023-06-19,2024-12-31,2023-07-12,2200-01-01
CUST0017,sector,Industrials,2020-01-01,2024-02-25,2020-01-18,2025-06-17
CUST0017,sector,Industrials,2020-01-01,2021-06-14,2025-06-17,2200-01-01
CUST0017,sector,Technology,2021-06-14,2023-02-11,2025-06-17,2200-01-01
CUST0017,sector,Industrials,2023-02-11,2024-02-25,2025-06-17,2200-01-01
CUST0017,sector,Energy,2024-02-25,2024-06-28,2024-03-19,2200-01-01
CUST0017,sector,Healthcare,2024-06-28,2024-12-31,2024-07-07,2200-01-01
CUST0018,risk_tier,C,2020-01-01,2020-10-24,2020-01-15,2200-01-01
CUST0018,risk_tier,A,2020-10-24,2024-12-31,2020-11-16,2200-01-01
CUST0018,sector,Industrials,2020-01-01,2020-11-17,2020-01-21,2200-01-01
CUST0018,sector,Industrials,2020-11-17,2021-07-11,2020-12-06,2022-08-17
CUST0018,sector,Healthcare,2020-11-17,2021-07-11,2022-08-17,2200-01-01
CUST0018,sector,Technology,2021-07-11,2024-04-13,2021-08-10,2200-01-01
CUST0018,sector,Materials,2024-04-13,2024-12-31,2024-04-28,2200-01-01
CUST0019,risk_tier,A,2020-01-01,2024-06-29,2020-01-21,2200-01-01
CUST0019,risk_tier,C,2024-06-29,2024-12-31,2024-07-13,2200-01-01
CUST0019,sector,Industrials,2020-01-01,2023-04-19,2020-01-09,2200-01-01
CUST0019,sector,Industrials,2023-04-19,2023-09-29,2023-04-25,2200-01-01
CUST0019,sector,Energy,2023-09-29,2024-12-31,2023-10-21,2025-08-16
CUST0019,sector,Materials,2023-09-29,2024-12-31,2025-08-16,2026-07-05
CUST0019,sector,Industrials,2023-09-29,2024-12-31,2026-07-05,2200-01-01
CUST0020,risk_tier,C,2020-01-01,2020-05-08,2020-01-22,2200-01-01
CUST0020,risk_tier,C,2020-05-08,2020-10-31,2020-05-17,2200-01-01
CUST0020,risk_tier,A,2020-10-31,2022-06-05,2020-11-24,2200-01-01
CUST0020,risk_tier,C,2022-06-05,2024-12-31,2022-07-04,2200-01-01
CUST0020,sector,Healthcare,2020-01-01,2022-03-25,2020-01-17,2200-01-01
CUST0020,sector,Materials,2022-03-25,2022-12-08,2022-04-19,2200-01-01
CUST0020,sector,Materials,2022-12-08,2023-11-04,2022-12-10,2025-03-16
CUST0020,sector,Materials,2022-12-08,2023-04-02,2025-03-16,2200-01-01
CUST0020,sector,Technology,2023-04-02,2023-08-13,2025-03-16,2200-01-01
CUST0020,sector,Materials,2023-08-13,2023-11-04,2025-03-16,2200-01-01
CUST0020,sector,Industrials,2023-11-04,2024-12-31,2023-11-15,2200-01-01
CUST0021,risk_tier,A,2020-01-01,2021-08-11,2020-01-22,2200-01-01
CUST0021,risk_tier,A,2021-08-11,2023-07-19,2021-08-20,2200-01-01
CUST0021,risk_tier,B,2023-07-19,2024-12-31,2023-08-13,2200-01-01
CUST0021,sector,Technology,2020-01-01,2021-09-20,2020-01-13,2022-05-30
CUST0021,sector,Technology,2020-01-01,2020-08-07,2022-05-30,2200-01-01
CUST0021,sector,Industrials,2020-08-07,2021-04-16,2022-05-30,2200-01-01
CUST0021,sector,Technology,2021-04-16,2021-09-20,2022-05-30,2200-01-01
CUST0021,sector,Healthcare,2021-09-20,2022-12-14,2021-10-03,2200-01-01
CUST0021,sector,Healthcare,2022-12-14,2023-04-27,2022-12-30,2200-01-01
CUST0021,sector,Financials,2023-04-27,2024-12-31,2023-05-14,2200-01-01
CUST0022,risk_tier,B,2020-01-01,2022-02-14,2020-01-29,2200-01-01
CUST0022,risk_tier,C,2022-02-14,2024-07-15,2022-02-19,2200-01-01
CUST0022,risk_tier,B,2024-07-15,2024-12-31,2024-07-29,2200-01-01
CUST0022,sector,Industrials,2020-01-01,2024-07-29,2020-01-01,2200-01-01
CUST0022,sector,Materials,2024-07-29,2024-12-31,2024-08-11,2200-01-01
CUST0023,risk_tier,A,2020-01-01,2022-10-18,2020-01-03,2200-01-01
CUST0023,risk_tier,B,2022-10-18,2024-02-25,2022-11-01,2200-01-01
CUST0023,risk_tier,C,2024-02-25,2024-12-31,2024-03-10,2200-01-01
CUST0023,sector,Industrials,2020-01-01,2024-01-24,2020-01-29,2200-01-01
CUST0023,sector,Financials,2024-01-24,2024-12-31,2024-02-02,2200-01-01
CUST0024,risk_tier,B,2020-01-01,2021-11-05,2020-01-23,2200-01-01
CUST0024,risk_tier,B,2021-11-05,2022-11-10,2021-11-24,2200-01-01
CUST0024,risk_tier,A,2022-11-10,2023-11-21,2022-11-27,2200-01-01
CUST0024,risk_tier,A,2023-11-21,2024-12-31,2023-11-24,2200-01-01
CUST0024,sector,Energy,2020-01-01,2022-03-08,2020-01-10,2023-07-01
CUST0024,sector,Technology,2020-01-01,2022-03-08,2023-07-01,2200-01-01
CUST0024,sector,Healthcare,2022-03-08,2024-12-31,2022-03-26,2200-01-01
CUST0025,risk_tier,A,2020-01-01,2023-06-21,2020-01-31,2200-01-01
CUST0025,risk_tier,A,2023-06-21,2024-12-31,2023-06-26,2200-01-01
CUST0025,sector,Materials,2020-01-01,2021-06-05,2020-01-06,2200-01-01
CUST0025,sector,Technology,2021-06-05,2022-08-18,2021-06-14,2200-01-01
CUST0025,sector,Healthcare,2022-08-18,2023-10-08,2022-08-30,2200-01-01
CUST0025,sector,Financials,2023-10-08,2024-12-31,2023-10-30,2025-08-30
CUST0025,sector,Healthcare,2023-10-08,2024-12-31,2025-08-30,2026-09-23
CUST0025,sector,Industrials,2023-10-08,2024-12-31,2026-09-23,2200-01-01
CUST0026,risk_tier,C,2020-01-01,2021-10-03,2020-01-09,2200-01-01
CUST0026,risk_tier,B,2021-10-03,2023-02-17,2021-10-18,2200-01-01
CUST0026,risk_tier,A,2023-02-17,2024-12-31,2023-03-06,2200-01-01
CUST0026,sector,Energy,2020-01-01,2021-01-01,2020-01-06,2200-01-01
CUST0026,sector,Materials,2021-01-01,2022-10-08,2021-01-22,2200-01-01
CUST0026,sector,Materials,2022-10-08,2024-01-21,2022-10-14,2200-01-01
CUST0026,sector,Industrials,2024-01-21,2024-12-31,2024-01-31,2026-02-06
CUST0026,sector,Healthcare,2024-01-21,2024-12-31,2026-02-06,2200-01-01
CUST0027,risk_tier,A,2020-01-01,2021-04-16,2020-01-23,2200-01-01
CUST0027,risk_tier,A,2021-04-16,2023-03-18,2021-05-15,2200-01-01
CUST0027,risk_tier,C,2023-03-18,2023-09-16,2023-04-07,2200-01-01
CUST0027,risk_tier,B,2023-09-16,2024-12-31,2023-10-08,2200-01-01
CUST0027,sector,Industrials,2020-01-01,2023-02-10,2020-01-28,2200-01-01
CUST0027,sector,Energy,2023-02-10,2024-12-31,2023-02-15,2200-01-01
CUST0028,risk_tier,C,2020-01-01,2020-08-15,2020-01-10,2200-01-01
CUST0028,risk_tier,C,2020-08-15,2020-12-26,2020-08-20,2200-01-01
CUST0028,risk_tier,A,2020-12-26,2021-11-17,2021-01-17,2200-01-01
CUST0028,risk_tier,A,2021-11-17,2024-12-31,2021-11-29,2200-01-01
CUST0028,sector,Technology,2020-01-01,2020-08-24,2020-01-19,2200-01-01
CUST0028,sector,Industrials,2020-08-24,2021-08-16,2020-09-05,2200-01-01
CUST0028,sector,Energy,2021-08-16,2024-12-31,2021-09-04,2200-01-01
CUST0029,risk_tier,C,2020-01-01,2021-02-25,2020-01-15,2200-01-01
CUST0029,risk_tier,A,2021-02-25,2022-07-19,2021-03-11,2200-01-01
CUST0029,risk_tier,C,2022-07-19,2024-12-31,2022-07-31,2200-01-01
CUST0029,sector,Financials,2020-01-01,2021-07-21,2020-01-15,2022-03-31
CUST0029,sector,Healthcare,2020-01-01,2021-07-21,2022-03-31,2200-01-01
CUST0029,sector,Technology,2021-07-21,2021-08-15,2021-08-17,2200-01-01
CUST0029,sector,Energy,2021-08-15,2021-10-21,2021-08-22,2200-01-01
CUST0029,sector,Materials,2021-10-21,2024-12-31,2021-10-28,2200-01-01
CUST0030,risk_tier,C,2020-01-01,2020-11-29,2020-01-15,2200-01-01
CUST0030,risk_tier,C,2020-11-29,2021-01-11,2020-12-20,2200-01-01
CUST0030,risk_tier,B,2021-01-11,2022-02-03,2021-02-05,2200-01-01
CUST0030,risk_tier,A,2022-02-03,2024-12-31,2022-02-07,2200-01-01
CUST0030,sector,Industrials,2020-01-01,2021-05-01,2020-01-10,2200-01-01
CUST0030,sector,Financials,2021-05-01,2022-11-09,2021-05-11,2200-01-01
CUST0030,sector,Technology,2022-11-09,2023-07-27,2022-11-28,2200-01-01
CUST0030,sector,Industrials,2023-07-27,2024-12-31,2023-08-12,2025-06-05
CUST0030,sector,Healthcare,2023-07-27,2024-12-31,2025-06-05,2026-04-03
CUST0030,sector,Energy,2023-07-27,2024-12-31,2026-04-03,2200-01-01
CUST0031,risk_tier,C,2020-01-01,2021-03-15,2020-01-29,2200-01-01
CUST0031,risk_tier,A,2021-03-15,2022-01-16,2021-03-25,2200-01-01
CUST0031,risk_tier,A,2022-01-16,2024-04-20,2022-02-01,2200-01-01
CUST0031,risk_tier,A,2024-04-20,2024-12-31,2024-05-20,2200-01-01
CUST0031,sector,Financials,2020-01-01,2022-09-22,2020-01-26,2200-01-01
CUST0031,sector,Healthcare,2022-09-22,2023-05-27,2022-09-25,2200-01-01
CUST0031,sector,Materials,2023-05-27,2023-12-12,2023-06-01,2025-03-14
CUST0031,sector,Healthcare,2023-05-27,2023-12-12,2025-03-14,2200-01-01
CUST0031,sector,Energy,2023-12-12,2024-12-31,2023-12-28,2200-01-01
CUST0032,risk_tier,A,2020-01-01,2022-04-12,2020-01-05,2200-01-01
CUST0032,risk_tier,C,2022-04-12,2023-12-13,2022-04-23,2200-01-01
CUST0032,risk_tier,B,2023-12-13,2024-07-29,2023-12-15,2200-01-01
CUST0032,risk_tier,B,2024-07-29,2024-12-31,2024-08-14,2200-01-01
CUST0032,sector,Materials,2020-01-01,2021-06-21,2020-01-19,2200-01-01
CUST0032,sector,Energy,2021-06-21,2021-12-10,2021-07-13,2200-01-01
CUST0032,sector,Financials,2021-12-10,2023-12-03,2022-01-05,2200-01-01
CUST0032,sector,Materials,2023-12-03,2024-12-31,2024-01-02,2200-01-01
CUST0033,risk_tier,C,2020-01-01,2021-11-03,2020-01-25,2200-01-01
CUST0033,risk_tier,A,2021-11-03,2022-12-26,2021-11-25,2200-01-01
CUST0033,risk_tier,B,2022-12-26,2024-12-31,2023-01-19,2200-01-01
CUST0033,sector,Technology,2020-01-01,2021-04-22,2020-01-01,2200-01-01
CUST0033,sector,Energy,2021-04-22,2021-06-28,2021-05-12,2022-07-20
CUST0033,sector,Industrials,2021-04-22,2021-06-28,2022-07-20,2200-01-01
CUST0033,sector,Energy,2021-06-28,2023-09-10,2021-07-07,2200-01-01
CUST0033,sector,Energy,2023-09-10,2024-12-31,2023-10-03,2200-01-01
CUST0034,risk_tier,A,2020-01-01,2023-03-26,2020-01-03,2200-01-01
CUST0034,risk_tier,B,2023-03-26,2024-12-31,2023-04-21,2200-01-01
CUST0034,sector,Technology,2020-01-01,2022-05-01,2020-01-16,2200-01-01
CUST0034,sector,Healthcare,2022-05-01,2022-11-04,2022-05-22,2200-01-01
CUST0034,sector,Technology,2022-11-04,2024-12-31,2022-11-28,2025-11-08
CUST0034,sector,Materials,2022-11-04,2024-12-31,2025-11-08,2200-01-01
CUST0035,risk_tier,C,2020-01-01,2022-10-07,2020-01-18,2200-01-01
CUST0035,risk_tier,C,2022-10-07,2022-11-14,2022-10-12,2200-01-01
CUST0035,risk_tier,B,2022-11-14,2024-12-31,2022-12-03,2200-01-01
CUST0035,sector,Technology,2020-01-01,2022-05-21,2020-01-25,2200-01-01
CUST0035,sector,Industrials,2022-05-21,2022-06-06,2022-06-16,2200-01-01
CUST0035,sector,Healthcare,2022-06-06,2023-09-13,2022-06-11,2200-01-01
CUST0035,sector,Financials,2023-09-13,2024-12-31,2023-10-04,2200-01-01
CUST0036,risk_tier,C,2020-01-01,2023-11-09,2020-01-11,2200-01-01
CUST0036,risk_tier,A,2023-11-09,2024-12-31,2023-11-11,2200-01-01
CUST0036,sector,Technology,2020-01-01,2020-07-26,2020-01-25,2021-12-02
CUST0036,sector,Energy,2020-01-01,2020-07-26,2021-12-02,2200-01-01
CUST0036,sector,Technology,2020-07-26,2024-03-12,2020-07-31,2200-01-01
CUST0036,sector,Energy,2024-03-12,2024-05-03,2024-03-30,2200-01-01
CUST0036,sector,Industrials,2024-05-03,2024-12-31,2024-05-22,2200-01-01
CUST0037,risk_tier,B,2020-01-01,2023-06-16,2020-01-18,2200-01-01
CUST0037,risk_tier,C,2023-06-16,2024-12-31,2023-07-06,2200-01-01
CUST0037,sector,Healthcare,2020-01-01,2020-07-22,2020-01-24,2200-01-01
CUST0037,sector,Industrials,2020-07-22,2022-09-17,2020-08-13,2023-07-02
CUST0037,sector,Industrials,2020-07-22,2021-04-23,2023-07-02,2200-01-01
CUST0037,sector,Technology,2021-04-23,2022-03-04,2023-07-02,2200-01-01
CUST0037,sector,Industrials,2022-03-04,2022-09-17,2023-07-02,2200-01-01
CUST0037,sector,Financials,2022-09-17,2024-12-31,2022-10-12,2200-01-01
CUST0038,risk_tier,B,2020-01-01,2021-09-10,2020-01-07,2200-01-01
CUST0038,risk_tier,B,2021-09-10,2022-11-21,2021-09-26,2200-01-01
CUST0038,risk_tier,A,2022-11-21,2024-12-31,2022-12-21,2200-01-01
CUST0038,sector,Energy,2020-01-01,2021-11-12,2020-01-19,2200-01-01
CUST0038,sector,Materials,2021-11-12,2023-10-10,2021-11-29,2200-01-01
CUST0038,sector,Financials,2023-10-10,2024-12-31,2023-10-11,2200-01-01
CUST0039,risk_tier,C,2020-01-01,2020-09-05,2020-01-03,2200-01-01
CUST0039,risk_tier,B,2020-09-05,2022-09-20,2020-09-13,2200-01-01
CUST0039,risk_tier,C,2022-09-20,2024-12-31,2022-10-06,2200-01-01
CUST0039,sector,Healthcare,2020-01-01,2022-12-21,2020-01-18,2200-01-01
CUST0039,sector,Healthcare,2022-12-21,2022-12-30,2023-01-20,2200-01-01
CUST0039,sector,Energy,2022-12-30,2024-12-31,2023-01-04,2200-01-01
CUST0040,risk_tier,B,2020-01-01,2020-07-07,2020-01-21,2200-01-01
CUST0040,risk_tier,C,2020-07-07,2022-06-06,2020-07-12,2200-01-01
CUST0040,risk_tier,C,2022-06-06,2024-06-24,2022-06-13,2200-01-01
CUST0040,risk_tier,A,2024-06-24,2024-12-31,2024-07-07,2200-01-01
CUST0040,sector,Healthcare,2020-01-01,2022-01-07,2020-01-06,2200-01-01
CUST0040,sector,Technology,2022-01-07,2024-12-31,2022-02-04,2200-01-01
CUST0041,risk_tier,A,2020-01-01,2023-08-17,2020-01-07,2200-01-01
CUST0041,risk_tier,B,2023-08-17,2024-12-31,2023-08-27,2200-01-01
CUST0041,sector,Energy,2020-01-01,2021-03-20,2020-01-10,2022-04-05
CUST0041,sector,Healthcare,2020-01-01,2021-03-20,2022-04-05,2200-01-01
CUST0041,sector,Energy,2021-03-20,2022-03-25,2021-04-03,2200-01-01
CUST0041,sector,Technology,2022-03-25,2023-03-25,2022-04-11,2200-01-01
CUST0041,sector,Materials,2023-03-25,2024-12-31,2023-03-30,2200-01-01
CUST0042,risk_tier,B,2020-01-01,2020-08-24,2020-01-16,2200-01-01
CUST0042,risk_tier,B,2020-08-24,2024-12-31,2020-08-24,2200-01-01
CUST0042,sector,Technology,2020-01-01,2023-02-05,2020-01-25,2200-01-01
CUST0042,sector,Materials,2023-02-05,2023-06-06,2023-02-14,2200-01-01
CUST0042,sector,Materials,2023-06-06,2024-12-31,2023-07-01,2025-09-02
CUST0042,sector,Materials,2023-06-06,2023-12-23,2025-09-02,2200-01-01
CUST0042,sector,Healthcare,2023-12-23,2024-08-09,2025-09-02,2200-01-01
CUST0042,sector,Materials,2024-08-09,2024-12-31,2025-09-02,2200-01-01
CUST0043,risk_tier,C,2020-01-01,2020-11-04,2020-01-31,2200-01-01
CUST0043,risk_tier,B,2020-11-04,2020-12-18,2020-11-17,2200-01-01
CUST0043,risk_tier,C,2020-12-18,2021-07-17,2021-01-04,2200-01-01
CUST0043,risk_tier,C,2021-07-17,2024-12-31,2021-07-29,2200-01-01
CUST0043,sector,Financials,2020-01-01,2020-09-06,2020-01-27,2021-03-29
CUST0043,sector,Healthcare,2020-01-01,2020-09-06,2021-03-29,2022-02-01
CUST0043,sector,Energy,2020-01-01,2020-09-06,2022-02-01,2200-01-01
CUST0043,sector,Industrials,2020-09-06,2024-12-31,2020-09-12,2200-01-01
CUST0044,risk_tier,C,2020-01-01,2022-09-29,2020-01-18,2200-01-01
CUST0044,risk_tier,B,2022-09-29,2024-12-31,2022-10-22,2200-01-01
CUST0044,sector,Financials,2020-01-01,2021-08-27,2020-01-05,2022-11-28
CUST0044,sector,Financials,2020-01-01,2020-07-30,2022-11-28,2200-01-01
CUST0044,sector,Industrials,2020-07-30,2021-03-29,2022-11-28,2200-01-01
CUST0044,sector,Financials,2021-03-29,2021-08-27,2022-11-28,2200-01-01
CUST0044,sector,Technology,2021-08-27,2024-12-31,2021-09-16,2200-01-01
CUST0045,risk_tier,B,2020-01-01,2020-06-04,2020-01-14,2200-01-01
CUST0045,risk_tier,B,2020-06-04,2024-12-31,2020-06-18,2200-01-01
