txn_id,customer_id,event_date,processing_date
T000122,CUST0008,2023-12-14,2024-01-05
T000123,CUST0008,2023-10-23,2023-12-02
T000124,CUST0008,2020-04-28,2020-05-02
T000125,CUST0008,2021-03-27,2021-05-05
T000126,CUST0008,2024-08-22,2024-09-03
T000127,CUST0008,2022-09-04,2022-09-23
T000128,CUST0009,2023-03-31,2023-05-14
T000129,CUST0009,2022-12-12,2023-01-23
T000130,CUST0009,2020-05-15,2020-06-26
T000131,CUST0009,2022-04-15,2022-05-03
T000132,CUST0009,2024-04-25,2024-05-19
T000133,CUST0009,2021-08-19,2021-08-22
T000134,CUST0009,2021-02-21,2021-02-23
T000135,CUST0009,2022-01-13,2022-02-06
T000136,CUST0009,2020-02-04,2020-02-14
T000137,CUST0009,2021-06-07,2021-06-23
T000138,CUST0009,2022-10-31,2022-11-11
T000139,CUST0009,2023-10-07,2023-10-28
T000140,CUST0009,2024-01-17,2024-02-28
T000141,CUST0009,2023-03-02,2023-03-12
T000142,CUST0009,2020-02-08,2020-02-11
T000143,CUST0009,2020-03-02,2020-04-14
T000144,CUST0010,2023-03-09,2023-03-11
T000145,CUST0010,2021-11-07,2021-12-08
T000146,CUST0010,2022-07-07,2022-07-26
T000147,CUST0010,2020-06-25,2020-07-17
T000148,CUST0010,2021-07-22,2021-08-22
T000149,CUST0010,2020-03-11,2020-04-05
T000150,CUST0010,2020-10-01,2020-10-24
T000151,CUST0010,2022-05-16,2022-06-19
T000152,CUST0010,2020-05-30,2020-06-25
T000153,CUST0010,2021-08-13,2021-08-24
T000154,CUST0010,2022-12-17,2023-01-14
T000155,CUST0010,2024-04-23,2024-05-25
T000156,CUST0010,2021-02-21,2021-02-24
T000157,CUST0010,2021-10-24,2021-11-12
T000158,CUST0010,2021-05-21,2021-06-22
T000159,CUST0011,2023-12-06,2024-01-19
T000160,CUST0011,2023-07-27,2023-08-15
T000161,CUST0011,2024-01-20,2024-02-26
T000162,CUST0011,2022-09-10,2022-09-16
T000163,CUST0011,2020-08-19,2020-09-09
T000164,CUST0011,2020-04-27,2020-05-18
T000165,CUST0011,2020-03-24,2020-04-21
T000166,CUST0011,2022-01-18,2022-02-17
T000167,CUST0011,2022-08-05,2022-08-23
T000168,CUST0011,2023-06-08,2023-06-17
T000169,CUST0011,2021-12-04,2022-01-16
T000170,CUST0012,2021-11-07,2021-12-19
T000171,CUST0012,2020-08-16,2020-08-26
T000172,CUST0012,2022-09-16,2022-10-22
T000173,CUST0012,2021-01-12,2021-01-17
T000174,CUST0012,2024-01-02,2024-01-20
T000175,CUST0012,2023-06-15,2023-07-16
T000176,CUST0012,2022-12-31,2023-01-30
T000177,CUST0012,2020-01-29,2020-02-05
T000178,CUST0012,2022-02-10,2022-03-13
T000179,CUST0012,2022-10-05,2022-10-15
T000180,CUST0012,2023-10-26,2023-11-18
T000181,CUST0012,2021-09-14,2021-09-19
T000182,CUST0012,2024-09-04,2024-10-08
T000183,CUST0012,2022-03-26,2022-04-18
T000184,CUST0013,2020-04-08,2020-04-28
T000185,CUST0013,2020-01-26,2020-03-04
T000186,CUST0013,2020-05-15,2020-05-23
T000187,CUST0013,2021-07-01,2021-07-15
T000188,CUST0013,2022-09-10,2022-10-24
T000189,CUST0013,2023-04-15,2023-04-18
T000190,CUST0013,2020-12-03,2020-12-18
T000191,CUST0013,2024-11-27,2024-12-17
T000192,CUST0013,2024-05-25,2024-06-16
T000193,CUST0014,2022-09-28,2022-10-28
T000194,CUST0014,2023-06-04,2023-06-16
T000195,CUST0014,2021-12-14,2021-12-26
T000196,CUST0014,2020-03-03,2020-03-10
T000197,CUST0014,2021-09-10,2021-09-23
T000198,CUST0014,2020-02-08,2020-03-05
T000199,CUST0014,2022-07-03,2022-07-28
T000200,CUST0014,2024-05-06,2024-06-01
T000201,CUST0014,2020-06-02,2020-07-04
T000202,CUST0014,2022-01-12,2022-01-25
T000203,CUST0014,2024-07-25,2024-08-20
T000204,CUST0014,2024-02-25,2024-03-16
T000205,CUST0014,2023-09-10,2023-10-24
T000206,CUST0014,2023-07-21,2023-08-18
T000207,CUST0014,2020-01-15,2020-02-01
T000208,CUST0014,2022-03-06,2022-04-20
T000209,CUST0014,2024-06-12,2024-07-15
T000210,CUST0015,2020-12-11,2020-12-27
T000211,CUST0015,2024-07-09,2024-08-03
T000212,CUST0015,2020-09-07,2020-10-05
T000213,CUST0015,2023-04-11,2023-05-20
T000214,CUST0015,2022-05-25,2022-06-19
T000215,CUST0015,2023-12-07,2024-01-15
T000216,CUST0015,2021-05-17,2021-06-19
T000217,CUST0015,2020-02-28,2020-04-13
T000218,CUST0015,2022-03-01,2022-03-16
T000219,CUST0015,2022-04-01,2022-04-24
T000220,CUST0015,2020-04-20,2020-05-19
T000221,CUST0015,2021-08-26,2021-08-26
T000222,CUST0015,2023-03-06,2023-03-30
T000223,CUST0015,2021-12-10,2021-12-31
T000224,CUST0015,2022-11-26,2022-12-08
T000225,CUST0015,2024-11-22,2024-12-20
T000226,CUST0016,2023-08-10,2023-09-17
T000227,CUST0016,2023-05-08,2023-05-25
T000228,CUST0016,2024-07-13,2024-08-03
T000229,CUST0016,2022-04-29,2022-04-30
T000230,CUST0016,2023-07-24,2023-07-29
T000231,CUST0016,2020-11-23,2020-11-26
T000232,CUST0016,2023-04-07,2023-04-09
T000233,CUST0016,2020-08-29,2020-09-10
T000234,CUST0016,2023-12-24,2024-01-12
T000235,CUST0016,2024-01-22,2024-01-29
T000236,CUST0016,2020-09-11,2020-10-04
T000237,CUST0017,2023-10-10,2023-11-01
T000238,CUST0017,2021-11-03,2021-12-15
T000239,CUST0017,2023-10-25,2023-12-03
T000240,CUST0017,2021-01-19,2021-02-04
T000241,CUST0017,2021-05-15,2021-06-17
T000242,CUST0017,2022-06-30,2022-08-09
T000243,CUST0017,2020-02-25,2020-04-10
T000244,CUST0017,2022-03-28,2022-04-08
T000245,CUST0017,2024-02-23,2024-03-30
T000246,CUST0017,2024-02-04,2024-02-21
T000247,CUST0017,2024-11-27,2024-11-30
T000248,CUST0017,2021-02-19,2021-03-03
T000249,CUST0017,2020-10-25,2020-11-01
T000250,CUST0017,2024-12-19,2025-01-21
T000251,CUST0017,2023-06-06,2023-07-01
T000252,CUST0017,2022-04-30,2022-05-06
T000253,CUST0017,2022-06-18,2022-07-15
T000254,CUST0017,2023-10-08,2023-10-15
T000255,CUST0017,2020-11-07,2020-12-03
T000256,CUST0018,2021-09-19,2021-09-30
T000257,CUST0018,2023-10-17,2023-11-06
T000258,CUST0018,2022-06-20,2022-06-27
T000259,CUST0018,2024-02-13,2024-03-24
T000260,CUST0018,2021-10-04,2021-10-22
T000261,CUST0018,2022-01-09,2022-01-09
T000262,CUST0018,2021-05-13,2021-06-14
T000263,CUST0018,2023-06-20,2023-07-27
T000264,CUST0018,2024-08-21,2024-08-26
T000265,CUST0018,2020-05-08,2020-05-27
T000266,CUST0019,2022-02-11,2022-03-07
T000267,CUST0019,2020-01-31,2020-03-09
T000268,CUST0019,2024-05-08,2024-05-29
T000269,CUST0019,2022-03-26,2022-04-24
T000270,CUST0019,2022-10-06,2022-10-19
T000271,CUST0019,2023-02-19,2023-03-19
T000272,CUST0019,2024-08-12,2024-09-18
T000273,CUST0019,2020-01-27,2020-02-01
T000274,CUST0019,2023-05-26,2023-06-25
T000275,CUST0019,2022-07-14,2022-07-19
T000276,CUST0019,2022-12-12,2023-01-16
T000277,CUST0019,2022-06-02,2022-06-26
T000278,CUST0019,2023-10-02,2023-10-29
T000279,CUST0019,2021-02-02,2021-02-20
T000280,CUST0019,2024-10-08,2024-10-30
T000281,CUST0020,2020-11-19,2020-11-29
T000282,CUST0020,2024-02-05,2024-02-12
T000283,CUST0020,2021-03-26,2021-04-09
T000284,CUST0020,2023-01-04,2023-02-09
T000285,CUST0020,2023-06-05,2023-07-02
T000286,CUST0020,2021-06-24,2021-07-07
T000287,CUST0020,2020-08-08,2020-09-09
T000288,CUST0020,2020-10-17,2020-11-11
T000289,CUST0020,2020-09-17,2020-10-22
T000290,CUST0020,2022-05-21,2022-06-23
T000291,CUST0020,2021-09-19,2021-09-28
T000292,CUST0020,2020-09-26,2020-10-28
T000293,CUST0020,2024-06-18,2024-06-22
T000294,CUST0020,2021-04-14,2021-05-08
T000295,CUST0020,2020-01-01,2020-01-26
T000296,CUST0020,2021-07-29,2021-08-24
T000297,CUST0020,2021-04-15,2021-04-20
T000298,CUST0021,2020-02-20,2020-03-01
T000299,CUST0021,2023-04-19,2023-05-04
T000300,CUST0021,2021-02-05,2021-03-02
T000301,CUST0021,2021-01-28,2021-01-31
T000302,CUST0021,2021-12-25,2021-12-28
T000303,CUST0021,2024-07-15,2024-07-26
T000304,CUST0021,2023-04-02,2023-04-22
T000305,CUST0021,2022-09-02,2022-09-26
T000306,CUST0021,2024-02-02,2024-02-15
T000307,CUST0021,2022-03-07,2022-03-08
T000308,CUST0021,2021-02-05,2021-03-17
T000309,CUST0021,2022-01-14,2022-01-27
T000310,CUST0022,2022-07-03,2022-08-01
T000311,CUST0022,2020-06-25,2020-07-26
T000312,CUST0022,2020-09-17,2020-09-20
T000313,CUST0022,2023-05-15,2023-06-26
T000314,CUST0022,2021-03-11,2021-04-20
T000315,CUST0022,2023-01-21,2023-01-21
T000316,CUST0022,2022-08-16,2022-09-14
T000317,CUST0022,2022-08-28,2022-09-23
T000318,CUST0022,2024-07-01,2024-08-01
T000319,CUST0022,2022-05-13,2022-06-11
T000320,CUST0022,2024-07-26,2024-07-30
T000321,CUST0022,2023-01-03,2023-01-06
T000322,CUST0022,2023-09-17,2023-09-29
T000323,CUST0022,2022-05-10,2022-05-22
T000324,CUST0022,2023-03-04,2023-04-11
T000325,CUST0022,2024-06-29,2024-07-05
T000326,CUST0022,2022-12-13,2023-01-23
T000327,CUST0022,2023-06-27,2023-06-27
T000328,CUST0023,2022-05-03,2022-05-06
T000329,CUST0023,2021-09-07,2021-10-20
T000330,CUST0023,2023-04-20,2023-04-28
T000331,CUST0023,2022-07-26,2022-08-09
T000332,CUST0023,2021-03-05,2021-03-23
T000333,CUST0023,2021-11-28,2022-01-04
T000334,CUST0023,2023-10-13,2023-10-26
T000335,CUST0023,2022-04-24,2022-05-01
T000336,CUST0023,2024-12-14,2025-01-02
T000337,CUST0023,2020-02-09,2020-03-17
T000338,CUST0024,2020-03-21,2020-04-26
T000339,CUST0024,2022-09-01,2022-10-02
T000340,CUST0024,2023-07-09,2023-07-09
T000341,CUST0024,2022-05-01,2022-06-08
T000342,CUST0024,2024-05-12,2024-06-14
T000343,CUST0024,2021-11-27,2021-11-27
T000344,CUST0024,2023-07-14,2023-08-04
T000345,CUST0024,2020-11-04,2020-11-28
T000346,CUST0024,2020-09-05,2020-09-15
T000347,CUST0024,2023-03-03,2023-03-29
T000348,CUST0024,2022-02-24,2022-04-07
T000349,CUST0024,2022-09-12,2022-09-16
T000350,CUST0024,2023-01-30,2023-03-13
T000351,CUST0024,2021-05-28,2021-07-02
T000352,CUST0025,2024-12-03,2025-01-10
T000353,CUST0025,2023-08-30,2023-09-03
T000354,CUST0025,2023-07-23,2023-08-18
T000355,CUST0025,2020-09-28,2020-11-05
T000356,CUST0025,2022-12-25,2022-12-25
T000357,CUST0025,2024-06-25,2024-07-27
T000358,CUST0025,2024-01-01,2024-01-10
T000359,CUST0025,2022-01-30,2022-02-14
T000360,CUST0025,2024-05-16,2024-05-16
T000361,CUST0025,2021-01-15,2021-01-30
T000362,CUST0025,2020-03-21,2020-04-28
T000363,CUST0025,2021-10-30,2021-11-02
T000364,CUST0025,2021-04-14,2021-05-26
T000365,CUST0026,2022-02-24,2022-03-28
T000366,CUST0026,2022-06-21,2022-07-18
T000367,CUST0026,2021-06-04,2021-07-13
T000368,CUST0026,2024-09-03,2024-09-10
T000369,CUST0026,2020-12-27,2021-01-24
T000370,CUST0026,2023-11-23,2024-01-01
T000371,CUST0026,2022-08-19,2022-09-16
T000372,CUST0026,2021-07-29,2021-08-02
T000373,CUST0026,2023-05-23,2023-06-08
T000374,CUST0026,2023-12-18,2023-12-30
T000375,CUST0026,2024-05-23,2024-07-06
T000376,CUST0026,2020-04-23,2020-05-04
T000377,CUST0026,2020-02-03,2020-02-17
T000378,CUST0026,2021-05-10,2021-05-12
T000379,CUST0027,2024-03-19,2024-03-31
T000380,CUST0027,2020-01-30,2020-02-07
T000381,CUST0027,2023-05-16,2023-05-28
T000382,CUST0027,2021-06-02,2021-07-05
T000383,CUST0027,2020-04-26,2020-05-12
T000384,CUST0027,2024-11-08,2024-12-04
T000385,CUST0027,2020-01-03,2020-01-28
T000386,CUST0027,2021-08-30,2021-10-06
T000387,CUST0027,2023-09-04,2023-10-04
T000388,CUST0027,2022-04-11,2022-05-18
T000389,CUST0027,2023-06-03,2023-06-28
T000390,CUST0028,2020-03-31,2020-04-04
T000391,CUST0028,2021-10-24,2021-12-07
T000392,CUST0028,2021-05-18,2021-05-26
T000393,CUST0028,2021-01-15,2021-01-23
T000394,CUST0028,2023-04-01,2023-04-22
T000395,CUST0028,2024-02-21,2024-03-11
T000396,CUST0028,2023-11-15,2023-11-30
T000397,CUST0028,2021-07-13,2021-07-22
T000398,CUST0028,2022-04-08,2022-05-05
T000399,CUST0028,2021-06-21,2021-07-09
T000400,CUST0028,2021-10-31,2021-12-13
T000401,CUST0028,2022-03-31,2022-04-16
T000402,CUST0029,2020-08-26,2020-08-29
T000403,CUST0029,2022-07-03,2022-07-21
T000404,CUST0029,2020-11-07,2020-12-19
T000405,CUST0029,2020-03-14,2020-04-09
T000406,CUST0029,2021-02-12,2021-02-28
T000407,CUST0029,2024-07-29,2024-09-01
T000408,CUST0029,2020-03-12,2020-04-26
T000409,CUST0029,2022-11-28,2023-01-01
T000410,CUST0029,2022-12-30,2023-02-09
T000411,CUST0029,2024-03-24,2024-04-18
T000412,CUST0029,2020-07-15,2020-07-28
T000413,CUST0029,2021-09-25,2021-10-01
T000414,CUST0029,2020-08-20,2020-10-02
T000415,CUST0029,2020-06-03,2020-06-11
T000416,CUST0029,2024-10-22,2024-11-27
T000417,CUST0029,2020-12-05,2021-01-01
T000418,CUST0029,2023-12-05,2023-12-23
T000419,CUST0029,2021-06-18,2021-07-02
T000420,CUST0029,2021-03-31,2021-03-31
T000421,CUST0030,2024-07-11,2024-07-20
T000422,CUST0030,2022-10-25,2022-11-29
T000423,CUST0030,2023-11-04,2023-11-24
T000424,CUST0030,2023-04-19,2023-05-23
T000425,CUST0030,2024-06-16,2024-07-11
T000426,CUST0030,2020-07-07,2020-07-19
T000427,CUST0030,2023-06-17,2023-06-17
T000428,CUST0030,2023-07-08,2023-08-16
T000429,CUST0030,2022-05-09,2022-05-13
T000430,CUST0030,2020-12-18,2021-01-10
T000431,CUST0030,2022-03-14,2022-03-23
T000432,CUST0030,2020-02-05,2020-03-21
T000433,CUST0030,2023-08-06,2023-08-15
T000434,CUST0030,2024-12-07,2024-12-30
T000435,CUST0031,2021-07-03,2021-07-25
T000436,CUST0031,2020-09-10,2020-10-12
T000437,CUST0031,2024-04-26,2024-05-10
T000438,CUST0031,2021-12-26,2022-01-10
T000439,CUST0031,2022-11-23,2022-12-10
T000440,CUST0031,2022-02-22,2022-03-29
T000441,CUST0031,2024-04-27,2024-05-13
T000442,CUST0031,2024-08-17,2024-09-13
T000443,CUST0031,2023-08-01,2023-09-06
T000444,CUST0031,2020-01-01,2020-02-12
T000445,CUST0031,2024-11-12,2024-12-14
T000446,CUST0031,2022-05-15,2022-06-08
T000447,CUST0031,2022-10-16,2022-11-22
T000448,CUST0031,2020-06-19,2020-07-06
T000449,CUST0031,2022-10-02,2022-10-23
T000450,CUST0031,2021-05-18,2021-06-26
T000451,CUST0031,2023-04-05,2023-04-07
T000452,CUST0031,2021-09-04,2021-10-12
T000453,CUST0032,2023-11-27,2023-12-05
T000454,CUST0032,2024-11-08,2024-11-13
T000455,CUST0032,2021-06-11,2021-06-12
T000456,CUST0032,2022-12-16,2022-12-27
T000457,CUST0032,2024-06-19,2024-07-14
T000458,CUST0032,2020-02-12,2020-03-21
T000459,CUST0032,2024-02-12,2024-03-18
T000460,CUST0032,2024-01-29,2024-02-03
T000461,CUST0032,2023-04-03,2023-04-30
T000462,CUST0032,2022-11-21,2022-11-23
T000463,CUST0033,2020-04-29,2020-05-17
T000464,CUST0033,2023-06-25,2023-07-12
T000465,CUST0033,2021-12-10,2021-12-26
T000466,CUST0033,2021-09-14,2021-10-07
T000467,CUST0033,2021-01-06,2021-02-07
T000468,CUST0033,2024-07-23,2024-08-12
T000469,CUST0033,2024-09-14,2024-10-03
T000470,CUST0033,2024-11-15,2024-11-23
T000471,CUST0033,2021-05-06,2021-05-31
T000472,CUST0033,2022-02-25,2022-03-06
T000473,CUST0033,2023-02-12,2023-03-12
T000474,CUST0033,2020-12-18,2021-02-01
T000475,CUST0033,2021-05-27,2021-06-16
T000476,CUST0033,2023-06-15,2023-06-22
T000477,CUST0033,2024-09-26,2024-11-10
T000478,CUST0033,2024-07-14,2024-07-31
T000479,CUST0033,2023-08-05,2023-08-27
T000480,CUST0033,2020-04-22,2020-06-01
T000481,CUST0033,2020-03-01,2020-04-02
T000482,CUST0034,2022-04-29,2022-05-06
T000483,CUST0034,2024-04-24,2024-05-20
T000484,CUST0034,2021-03-29,2021-04-06
T000485,CUST0034,2020-11-27,2020-12-03
T000486,CUST0034,2023-04-05,2023-05-01
T000487,CUST0034,2021-11-28,2021-12-19
T000488,CUST0034,2022-09-03,2022-09-12
T000489,CUST0034,2023-10-03,2023-11-11
T000490,CUST0034,2022-05-12,2022-06-15
T000491,CUST0034,2024-09-12,2024-10-16
T000492,CUST0034,2020-09-25,2020-09-29
T000493,CUST0034,2024-03-12,2024-04-06
T000494,CUST0034,2023-12-11,2024-01-14
T000495,CUST0034,2020-08-03,2020-08-20
T000496,CUST0035,2023-05-10,2023-06-15
T000497,CUST0035,2024-06-26,2024-07-15
T000498,CUST0035,2022-08-30,2022-09-21
T000499,CUST0035,2020-09-02,2020-10-06
T000500,CUST0035,2021-02-18,2021-03-29
T000501,CUST0035,2023-12-01,2023-12-19
T000502,CUST0035,2023-11-17,2023-12-25
T000503,CUST0035,2020-07-25,2020-08-31
T000504,CUST0035,2022-11-25,2022-11-30
T000505,CUST0035,2023-03-05,2023-04-04
T000506,CUST0035,2022-03-05,2022-04-11
T000507,CUST0035,2021-06-13,2021-07-21
T000508,CUST0035,2020-09-21,2020-10-10
T000509,CUST0035,2024-05-25,2024-06-03
T000510,CUST0036,2020-11-07,2020-11-08
T000511,CUST0036,2024-04-05,2024-05-17
T000512,CUST0036,2021-09-01,2021-10-15
T000513,CUST0036,2024-01-11,2024-02-02
T000514,CUST0036,2023-01-15,2023-02-02
T000515,CUST0036,2021-01-31,2021-03-13
T000516,CUST0036,2022-02-05,2022-02-16
T000517,CUST0036,2024-01-13,2024-02-17
T000518,CUST0036,2024-05-07,2024-06-04
T000519,CUST0036,2021-10-06,2021-10-29
T000520,CUST0036,2023-11-26,2023-12-27
T000521,CUST0036,2020-04-14,2020-05-23
T000522,CUST0036,2022-08-23,2022-10-04
T000523,CUST0036,2020-09-09,2020-10-16
T000524,CUST0036,2024-10-23,2024-11-27
T000525,CUST0036,2023-06-29,2023-07-28
T000526,CUST0036,2021-10-09,2021-11-09
T000527,CUST0036,2024-10-21,2024-11-20
T000528,CUST0037,2021-12-15,2022-01-04
T000529,CUST0037,2024-02-26,2024-03-11
T000530,CUST0037,2021-10-02,2021-11-16
T000531,CUST0037,2021-08-09,2021-08-13
T000532,CUST0037,2021-05-09,2021-06-02
T000533,CUST0037,2024-11-04,2024-11-14
T000534,CUST0037,2021-05-25,2021-06-25
T000535,CUST0037,2023-08-30,2023-09-20
T000536,CUST0037,2021-01-18,2021-02-26
T000537,CUST0038,2023-07-31,2023-09-11
T000538,CUST0038,2023-10-22,2023-11-03
T000539,CUST0038,2021-07-28,2021-08-03
T000540,CUST0038,2020-10-12,2020-10-25
T000541,CUST0038,2021-12-06,2022-01-04
T000542,CUST0038,2020-03-09,2020-03-19
T000543,CUST0038,2021-03-20,2021-04-06
T000544,CUST0038,2023-01-26,2023-02-06
T000545,CUST0038,2021-01-03,2021-01-28
T000546,CUST0038,2020-03-11,2020-04-24
T000547,CUST0038,2022-10-25,2022-11-25
T000548,CUST0038,2023-11-26,2023-11-29
T000549,CUST0038,2020-12-11,2020-12-11
T000550,CUST0038,2024-08-12,2024-08-15
T000551,CUST0038,2021-09-15,2021-09-21
T000552,CUST0039,2021-01-15,2021-02-13
T000553,CUST0039,2022-08-31,2022-09-25
T000554,CUST0039,2023-08-20,2023-09-15
T000555,CUST0039,2023-12-13,2023-12-17
T000556,CUST0039,2021-08-16,2021-09-08
T000557,CUST0039,2022-12-17,2023-01-20
T000558,CUST0039,2020-09-22,2020-09-28
T000559,CUST0039,2023-03-17,2023-04-28
T000560,CUST0039,2020-09-05,2020-09-07
T000561,CUST0039,2023-09-20,2023-10-25
T000562,CUST0039,2022-02-06,2022-02-23
T000563,CUST0039,2024-10-19,2024-11-01
T000564,CUST0039,2020-04-14,2020-05-23
T000565,CUST0039,2023-04-22,2023-05-29
T000566,CUST0040,2023-01-13,2023-02-24
T000567,CUST0040,2021-11-27,2021-12-27
T000568,CUST0040,2023-12-12,2024-01-16
T000569,CUST0040,2020-10-02,2020-11-11
T000570,CUST0040,2021-12-31,2022-01-23
T000571,CUST0040,2022-02-08,2022-03-15
T000572,CUST0040,2020-10-17,2020-11-02
T000573,CUST0040,2022-01-06,2022-02-20
T000574,CUST0041,2023-07-21,2023-07-27
T000575,CUST0041,2023-03-29,2023-04-04
T000576,CUST0041,2024-11-12,2024-12-26
T000577,CUST0041,2022-06-06,2022-06-09
T000578,CUST0041,2021-04-14,2021-04-19
T000579,CUST0041,2024-04-18,2024-06-01
T000580,CUST0041,2021-04-03,2021-05-16
